timestamp,date,no2,voc,pm10,pm2.5,no2plume,voc plume,pm10 plume,pm2.5 plume,pm1 ,pm1 plume
1691119387,04-08-2023 03:23,16,130,16.550365,15.5503645,16,10,17,31,13,33
1691119447,04-08-2023 03:24,17,130,16.38586,15.3858595,16,10,16,31,10,26
1691119507,04-08-2023 03:25,17,130,25.199043,10.615013,16,10,25,21,7,18
1691119567,04-08-2023 03:26,17,131,17.08525,12.045873,16,10,17,24,7,18
1691119627,04-08-2023 03:27,16,127,14.748561,13.748561,16,10,15,27,10,26
1691119687,04-08-2023 03:28,17,128,17.796597,16.796597,16,10,18,34,12,29
1691119747,04-08-2023 03:29,17,128,18.681576,10.678517,16,10,19,21,10,24
1691119807,04-08-2023 03:30,18,127,11.132822,10.132822,17,10,11,20,9,23
1691119867,04-08-2023 03:31,17,128,6.958506,5.958506,16,10,7,12,5,12
1691119927,04-08-2023 03:32,17,128,14.986355,13.986355,16,10,15,28,11,28
1691119987,04-08-2023 03:33,17,131,21.340233,18.828299,16,10,21,38,12,29
1691120047,04-08-2023 03:34,17,131,30.665678,17.473766,16,10,31,35,8,20
1691120107,04-08-2023 03:35,17,133,12.9584465,11.9584465,16,11,13,24,9,24
1691120167,04-08-2023 03:36,17,133,26.619942,15.554676,16,11,27,31,8,20
1691120227,04-08-2023 03:37,17,131,28.581043,9.923204,16,10,29,20,7,19
1691120287,04-08-2023 03:38,18,129,22.957516,16.907917,17,10,23,34,10,24
1691120347,04-08-2023 03:39,18,127,9.399589,8.399589,17,10,9,17,7,18
1691120407,04-08-2023 03:40,18,128,12.323128,11.323128,17,10,12,23,10,24
1691120467,04-08-2023 03:41,17,127,15.576492,14.576492,16,10,16,29,10,26
1691120527,04-08-2023 03:42,18,131,35.12014,17.961193,17,10,35,36,10,26
1691120587,04-08-2023 03:43,17,137,23.960052,9.498633,16,11,24,19,8,21
1691120647,04-08-2023 03:44,17,131,18.930965,11.768448,16,10,19,24,8,19
1691120707,04-08-2023 03:45,17,130,15.654227,14.654227,16,10,16,29,11,29
1691120767,04-08-2023 03:46,17,130,19.958138,18.958138,16,10,20,38,11,28
1691120827,04-08-2023 03:47,17,131,19.84552,8.493071,16,10,20,17,5,13
1691120887,04-08-2023 03:48,18,131,34.586746,18.351458,17,10,35,37,11,27
1691120947,04-08-2023 03:49,18,129,19.815273,15.340621,17,10,20,31,8,20
1691121007,04-08-2023 03:50,18,127,16.361902,15.361902,17,10,16,31,12,30
1691121067,04-08-2023 03:51,18,130,26.679455,18.578007,17,10,27,37,9,23
1691121127,04-08-2023 03:52,17,127,11.543974,10.543974,16,10,12,21,8,20
1691121187,04-08-2023 03:53,18,127,10.906774,9.906774,17,10,11,20,9,22
1691121247,04-08-2023 03:54,19,123,19.451643,17.504492,18,10,19,35,10,24
1691121307,04-08-2023 03:55,17,126,15.462856,14.462856,16,10,15,29,9,23
1691121367,04-08-2023 03:56,19,129,23.060009,14.95885,18,10,23,30,10,25
1691121427,04-08-2023 03:57,19,129,18.477188,11.864543,18,10,18,24,9,23
1691121487,04-08-2023 03:58,18,125,15.824198,14.824198,17,10,16,30,10,25
1691121547,04-08-2023 03:59,18,127,41.471436,20.804585,17,10,41,42,11,28
1691121607,04-08-2023 04:00,19,125,47.75357,12.795079,18,10,48,26,9,21
1691121667,04-08-2023 04:01,19,131,63.53872,14.304396,18,10,73,29,8,21
1691121727,04-08-2023 04:02,18,128,41.403748,13.209047,17,10,41,26,9,21
1691121787,04-08-2023 04:03,18,128,43.657864,16.645113,17,10,44,33,9,22
1691121847,04-08-2023 04:04,18,130,13.366661,12.366661,17,10,13,25,10,26
1691121907,04-08-2023 04:05,18,129,24.219982,9.150376,17,10,24,18,8,20
1691121967,04-08-2023 04:06,18,129,65.33398,20.151327,17,10,76,40,11,27
1691122027,04-08-2023 04:07,17,128,66.188866,12.536042,16,10,77,25,8,21
1691122087,04-08-2023 04:08,18,129,52.254753,11.065663,17,10,54,22,7,18
1691122147,04-08-2023 04:09,17,127,49.574,14.227543,16,10,50,28,10,25
1691122207,04-08-2023 04:10,18,126,57.82113,17.361822,17,10,63,35,8,20
1691122267,04-08-2023 04:11,19,129,35.84369,13.663878,18,10,36,27,9,23
1691122327,04-08-2023 04:12,18,130,22.807259,7.290459,17,10,23,15,6,16
1691122387,04-08-2023 04:13,19,130,36.403435,13.989355,18,10,36,28,8,20
1691122447,04-08-2023 04:14,18,129,14.826143,11.61663,17,10,15,23,10,26
1691122507,04-08-2023 04:15,18,129,42.46251,13.627073,17,10,42,27,6,15
1691122567,04-08-2023 04:16,19,131,34.840546,13.943628,18,10,35,28,8,20
1691122627,04-08-2023 04:17,18,131,10.531386,8.578665,17,10,11,17,8,19
1691122687,04-08-2023 04:18,18,131,35.795086,14.199098,17,10,36,28,9,22
1691122747,04-08-2023 04:19,19,130,28.02467,12.134544,18,10,28,24,9,22
1691122807,04-08-2023 04:20,18,131,45.850563,8.311761,17,10,46,17,4,9
1691122867,04-08-2023 04:21,19,133,39.692814,13.124948,18,11,40,26,7,18
1691122927,04-08-2023 04:22,19,135,49.970245,9.606184,18,11,50,19,6,14
1691122987,04-08-2023 04:23,18,132,11.328759,10.328759,17,11,11,21,9,23
1691123047,04-08-2023 04:24,19,133,43.140865,16.740078,18,11,43,33,9,22
1691123107,04-08-2023 04:25,19,130,37.69709,10.452129,18,10,38,21,6,16
1691123167,04-08-2023 04:26,18,126,30.73791,8.637468,17,10,31,17,6,15
1691123227,04-08-2023 04:27,19,127,18.682087,8.230546,18,10,19,16,7,18
1691123287,04-08-2023 04:28,19,130,32.576496,13.62002,18,10,33,27,8,21
1691123347,04-08-2023 04:29,19,129,51.0719,15.910025,18,10,52,32,8,21
1691123407,04-08-2023 04:30,19,131,42.285873,15.060397,18,10,42,30,10,25
1691123467,04-08-2023 04:31,18,128,40.20292,12.751862,17,10,40,26,8,21
1691123527,04-08-2023 04:32,19,129,40.484146,15.503649,18,10,40,31,10,26
1691123587,04-08-2023 04:33,19,129,41.889984,7.792081,18,10,42,16,7,16
1691123647,04-08-2023 04:34,19,127,57.60177,5.5617924,18,10,63,11,4,9
1691123707,04-08-2023 04:35,19,126,31.373985,9.407221,18,10,31,19,7,18
1691123767,04-08-2023 04:36,18,129,17.579407,4.5845623,17,10,18,9,4,9
1691123827,04-08-2023 04:37,19,131,34.461376,10.276122,18,10,34,21,7,18
1691123887,04-08-2023 04:38,19,127,49.29025,7.513795,18,10,49,15,2,5
1691123947,04-08-2023 04:39,19,128,33.345055,10.773825,18,10,33,22,6,16
1691124007,04-08-2023 04:40,19,131,57.37947,10.614935,18,10,62,21,4,9
1691124067,04-08-2023 04:41,19,129,43.590416,7.3813744,18,10,44,15,6,15
